method,metric,mean,std,ci95_low,ci95_high,n_folds
fixed_4g_4l,slice_class_1_support,141.6,48.59276842141373,117.00866624194612,166.19133375805387,15
fixed_4g_4l,slice_class_2_precision,0.4173011724580906,0.12164912647833204,0.3557382204430727,0.47886412447310855,15
fixed_4g_4l,slice_class_2_recall,0.2813166025614162,0.2539662393131171,0.15279195255455524,0.4098412525682772,15
fixed_4g_4l,slice_class_2_f1,0.2784067477928789,0.18711691815819045,0.18371252197102272,0.37310097361473504,15
fixed_4g_4l,slice_class_2_support,285.2,96.821042577088,236.2017920327692,334.1982079672308,15
fixed_4g_4l,slice_class_3_precision,0.3068325571070693,0.10444492803985991,0.25397613076622594,0.35968898344791267,15
fixed_4g_4l,slice_class_3_recall,0.28024066240741746,0.1871799792565434,0.1855145232666226,0.3749668015482123,15
fixed_4g_4l,slice_class_3_f1,0.23976106974096675,0.10654699754309158,0.18584084945678805,0.2936812900251455,15
fixed_4g_4l,slice_class_3_support,186.0,37.981198356179185,166.77886163620894,205.22113836379106,15
fixed_4g_4l,patient_accuracy,0.3461917977181621,0.10552611791406101,0.2927882138080745,0.3995953816282497,15
fixed_4g_4l,patient_balanced_accuracy,0.3557455913157667,0.07096201624811409,0.3198338562491799,0.3916573263823535,15
fixed_4g_4l,patient_macro_precision,0.3517456047004836,0.11217052430108514,0.2949794872201652,0.408511722180802,15
fixed_4g_4l,patient_macro_recall,0.3557455913157667,0.07096201624811409,0.3198338562491799,0.3916573263823535,15
fixed_4g_4l,patient_macro_f1,0.26968794660984335,0.11735543727006843,0.21029790113635177,0.32907799208333494,15
fixed_4g_4l,patient_weighted_f1,0.2738345877033454,0.12667595117050862,0.2097277114015592,0.3379414640051316,15
fixed_4g_4l,patient_mcc,0.036116378028493955,0.11476436770325063,-0.021962405325594007,0.09419516138258191,15
fixed_4g_4l,patient_macro_auroc,0.510489902442171,0.09195469483317727,0.4639544062207588,0.5570253986635831,15
fixed_4g_4l,patient_macro_auprc,0.3980141335905589,0.07668430979002712,0.35920651843888673,0.4368217487422311,15
fixed_4g_4l,patient_class_1_sensitivity,0.4548413964203438,0.3356380973009046,0.28498508362365516,0.6246977092170325,15
fixed_4g_4l,patient_class_1_specificity,0.5966240193395367,0.3169971845342528,0.43620130998408546,0.7570467286949879,15
fixed_4g_4l,patient_class_2_sensitivity,0.29308367071524966,0.354757903206543,0.11355140111080755,0.4726159403196918,15
