class_label,class_name,fpr,tpr
2,Glioma,0.20601851851851852,0.1947565543071161
2,Glioma,0.20601851851851852,0.20224719101123595
2,Glioma,0.20833333333333334,0.20224719101123595
2,Glioma,0.20833333333333334,0.20599250936329588
2,Glioma,0.21064814814814814,0.20599250936329588
2,Glioma,0.21064814814814814,0.21348314606741572
2,Glioma,0.21296296296296297,0.21348314606741572
2,Glioma,0.21296296296296297,0.21722846441947566
2,Glioma,0.2175925925925926,0.21722846441947566
2,Glioma,0.2175925925925926,0.23220973782771537
2,Glioma,0.22685185185185186,0.23220973782771537
2,Glioma,0.22685185185185186,0.24344569288389514
2,Glioma,0.22916666666666666,0.24344569288389514
2,Glioma,0.22916666666666666,0.250936329588015
2,Glioma,0.23148148148148148,0.250936329588015
2,Glioma,0.23148148148148148,0.25842696629213485
2,Glioma,0.2337962962962963,0.25842696629213485
2,Glioma,0.2337962962962963,0.2696629213483146
2,Glioma,0.24074074074074073,0.2696629213483146
2,Glioma,0.24074074074074073,0.27340823970037453
2,Glioma,0.24537037037037038,0.27340823970037453
2,Glioma,0.24537037037037038,0.27715355805243447
2,Glioma,0.2638888888888889,0.27715355805243447
2,Glioma,0.2638888888888889,0.2846441947565543
2,Glioma,0.2824074074074074,0.2846441947565543
2,Glioma,0.2824074074074074,0.2883895131086142
2,Glioma,0.2847222222222222,0.2883895131086142
2,Glioma,0.2847222222222222,0.29213483146067415
2,Glioma,0.28935185185185186,0.29213483146067415
2,Glioma,0.28935185185185186,0.2958801498127341
2,Glioma,0.2916666666666667,0.2958801498127341
2,Glioma,0.2916666666666667,0.299625468164794
2,Glioma,0.2962962962962963,0.299625468164794
2,Glioma,0.2962962962962963,0.30337078651685395
2,Glioma,0.30092592592592593,0.30337078651685395
2,Glioma,0.30092592592592593,0.31086142322097376
2,Glioma,0.3055555555555556,0.31086142322097376
2,Glioma,0.3055555555555556,0.32209737827715357
2,Glioma,0.3125,0.32209737827715357
2,Glioma,0.3125,0.3258426966292135
2,Glioma,0.31712962962962965,0.3258426966292135
2,Glioma,0.31712962962962965,0.3333333333333333
2,Glioma,0.3194444444444444,0.3333333333333333
2,Glioma,0.3194444444444444,0.3445692883895131
2,Glioma,0.32407407407407407,0.3445692883895131
2,Glioma,0.32407407407407407,0.34831460674157305
2,Glioma,0.3263888888888889,0.34831460674157305
2,Glioma,0.3263888888888889,0.352059925093633
2,Glioma,0.33101851851851855,0.352059925093633
2,Glioma,0.33101851851851855,0.35580524344569286
2,Glioma,0.3472222222222222,0.35580524344569286
2,Glioma,0.3472222222222222,0.3595505617977528
2,Glioma,0.35648148148148145,0.3595505617977528
2,Glioma,0.35648148148148145,0.36329588014981273
2,Glioma,0.3611111111111111,0.36329588014981273
2,Glioma,0.3611111111111111,0.3782771535580524
2,Glioma,0.375,0.3782771535580524
2,Glioma,0.375,0.38202247191011235
2,Glioma,0.38657407407407407,0.38202247191011235
2,Glioma,0.38657407407407407,0.3857677902621723
2,Glioma,0.3912037037037037,0.3857677902621723
2,Glioma,0.3912037037037037,0.3895131086142322
2,Glioma,0.40046296296296297,0.3895131086142322
2,Glioma,0.40046296296296297,0.3970037453183521
2,Glioma,0.4050925925925926,0.3970037453183521
2,Glioma,0.4050925925925926,0.40074906367041196
2,Glioma,0.41203703703703703,0.40074906367041196
2,Glioma,0.41203703703703703,0.4044943820224719
2,Glioma,0.41435185185185186,0.4044943820224719
2,Glioma,0.41435185185185186,0.40823970037453183
2,Glioma,0.4166666666666667,0.40823970037453183
2,Glioma,0.4166666666666667,0.41198501872659177
2,Glioma,0.4212962962962963,0.41198501872659177
2,Glioma,0.4212962962962963,0.4157303370786517
2,Glioma,0.42592592592592593,0.4157303370786517
2,Glioma,0.42592592592592593,0.41947565543071164
2,Glioma,0.4305555555555556,0.41947565543071164
2,Glioma,0.4305555555555556,0.4232209737827715
2,Glioma,0.4398148148148148,0.4232209737827715
2,Glioma,0.4398148148148148,0.4307116104868914
2,Glioma,0.44675925925925924,0.4307116104868914
2,Glioma,0.44675925925925924,0.43820224719101125
2,Glioma,0.4537037037037037,0.43820224719101125
2,Glioma,0.4537037037037037,0.4419475655430712
2,Glioma,0.45601851851851855,0.4419475655430712
2,Glioma,0.45601851851851855,0.44569288389513106
2,Glioma,0.46296296296296297,0.44569288389513106
2,Glioma,0.46296296296296297,0.45318352059925093
2,Glioma,0.4699074074074074,0.45318352059925093
2,Glioma,0.4699074074074074,0.4606741573033708
2,Glioma,0.4722222222222222,0.4606741573033708
2,Glioma,0.4722222222222222,0.46441947565543074
2,Glioma,0.47685185185185186,0.46441947565543074
2,Glioma,0.47685185185185186,0.4681647940074906
2,Glioma,0.48148148148148145,0.4681647940074906
2,Glioma,0.48148148148148145,0.47191011235955055
2,Glioma,0.49537037037037035,0.47191011235955055
2,Glioma,0.49537037037037035,0.49063670411985016
2,Glioma,0.5138888888888888,0.49063670411985016
2,Glioma,0.5138888888888888,0.4943820224719101
2,Glioma,0.5208333333333334,0.4943820224719101
2,Glioma,0.5208333333333334,0.49812734082397003
2,Glioma,0.5393518518518519,0.49812734082397003
2,Glioma,0.5393518518518519,0.5056179775280899
2,Glioma,0.5416666666666666,0.5056179775280899
2,Glioma,0.5416666666666666,0.5093632958801498
2,Glioma,0.5439814814814815,0.5093632958801498
2,Glioma,0.5439814814814815,0.5168539325842697
2,Glioma,0.5462962962962963,0.5168539325842697
2,Glioma,0.5462962962962963,0.5205992509363296
2,Glioma,0.5486111111111112,0.5205992509363296
2,Glioma,0.5486111111111112,0.5355805243445693
2,Glioma,0.5509259259259259,0.5355805243445693
2,Glioma,0.5509259259259259,0.5393258426966292
2,Glioma,0.5532407407407407,0.5393258426966292
2,Glioma,0.5532407407407407,0.5430711610486891
2,Glioma,0.5601851851851852,0.5430711610486891
2,Glioma,0.5601851851851852,0.5543071161048689
2,Glioma,0.5694444444444444,0.5543071161048689
2,Glioma,0.5694444444444444,0.5580524344569289
2,Glioma,0.5740740740740741,0.5580524344569289
2,Glioma,0.5740740740740741,0.5655430711610487
2,Glioma,0.5763888888888888,0.5655430711610487
2,Glioma,0.5763888888888888,0.5692883895131086
2,Glioma,0.5833333333333334,0.5692883895131086
2,Glioma,0.5833333333333334,0.5805243445692884
2,Glioma,0.5856481481481481,0.5805243445692884
2,Glioma,0.5856481481481481,0.5842696629213483
2,Glioma,0.5995370370370371,0.5842696629213483
2,Glioma,0.5995370370370371,0.5880149812734082
2,Glioma,0.6064814814814815,0.5880149812734082
2,Glioma,0.6064814814814815,0.5917602996254682
2,Glioma,0.6087962962962963,0.5917602996254682
2,Glioma,0.6087962962962963,0.5955056179775281
2,Glioma,0.6180555555555556,0.5955056179775281
2,Glioma,0.6180555555555556,0.602996254681648
2,Glioma,0.6226851851851852,0.602996254681648
2,Glioma,0.6226851851851852,0.6067415730337079
2,Glioma,0.625,0.6067415730337079
2,Glioma,0.625,0.6142322097378277
2,Glioma,0.6319444444444444,0.6142322097378277
2,Glioma,0.6319444444444444,0.6179775280898876
2,Glioma,0.6504629629629629,0.6179775280898876
2,Glioma,0.6504629629629629,0.6217228464419475
2,Glioma,0.6597222222222222,0.6217228464419475
2,Glioma,0.6597222222222222,0.6254681647940075
2,Glioma,0.6666666666666666,0.6254681647940075
2,Glioma,0.6666666666666666,0.6329588014981273
2,Glioma,0.6689814814814815,0.6329588014981273
2,Glioma,0.6689814814814815,0.6404494382022472
2,Glioma,0.6805555555555556,0.6404494382022472
2,Glioma,0.6805555555555556,0.6441947565543071
2,Glioma,0.6851851851851852,0.6441947565543071
2,Glioma,0.6851851851851852,0.6479400749063671
2,Glioma,0.6875,0.6479400749063671
2,Glioma,0.6875,0.6554307116104869
2,Glioma,0.6990740740740741,0.6554307116104869
2,Glioma,0.6990740740740741,0.6666666666666666
2,Glioma,0.7106481481481481,0.6666666666666666
2,Glioma,0.7106481481481481,0.6741573033707865
2,Glioma,0.7245370370370371,0.6741573033707865
2,Glioma,0.7245370370370371,0.6779026217228464
