seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
33,1,proposed_lsa_glqie,0.2792022792022792,0.375,0.5770677202128816,0.4715777421234187
33,1,classical_proposed,0.5957854406130269,0.5890151515151515,0.8366899279533689,0.698843672132603
33,1,classical_fixed_4g_4l,0.7006387921022067,0.6984848484848486,0.9109767025089608,0.845601056870442
33,1,svm_classical_proposed,0.7626050420168067,0.7946969696969698,0.920127801310597,0.8513102489136122
33,1,fixed_2g_6l,0.2792022792022792,0.375,0.4722208645595742,0.3485232352067368
33,1,fixed_6g_2l,0.1990049751243781,0.3333333333333333,0.4846855653307266,0.3736721900506337
33,1,shuffled_size_allocation,0.2340874811463047,0.3374999999999999,0.6476602947033056,0.4988602366541122
33,1,lesion_size_only,0.5088302378624959,0.5507575757575758,0.7204961804424169,0.59946936137582
33,1,svm_classical_fixed_4g_4l,0.7834554697299795,0.815530303030303,0.9605648781724052,0.9266807102599058
33,2,global_only,0.4178130511463844,0.4366096866096866,0.6302891477840769,0.4859173763819402
33,2,local_only,0.3828914810887239,0.3963675213675213,0.5241208226633208,0.3892628553380409
33,2,fixed_4g_4l,0.2285714285714285,0.3304843304843305,0.4612836535315761,0.3340195960888877
33,2,random_allocation,0.2544311034877072,0.3888888888888889,0.5248199776188391,0.4043237014271241
33,2,proposed_lsa_glqie,0.4615177791221348,0.4732905982905983,0.5814020936992539,0.4463224819117895
33,2,classical_proposed,0.7210846189808322,0.7307692307692308,0.8567025248059731,0.7719234891871984
33,2,classical_fixed_4g_4l,0.8145217177475242,0.8238960113960113,0.953702876480636,0.9204390538180832
33,2,svm_classical_proposed,0.8110816386678456,0.8262108262108262,0.9284089816012542,0.8704662722028108
33,2,fixed_2g_6l,0.4814518814518814,0.4823717948717949,0.6389130531232867,0.5053491745346318
33,2,fixed_6g_2l,0.318007662835249,0.3201566951566951,0.5635641117917177,0.4066110932515881
33,2,shuffled_size_allocation,0.5098039215686274,0.5151353276353277,0.6442967839617713,0.4745821686209739
33,2,lesion_size_only,0.5777000777000777,0.6102207977207977,0.7501325654093435,0.6508027603926053
33,2,svm_classical_fixed_4g_4l,0.9377434475473692,0.9444444444444444,0.9760653957351269,0.95750267312506
33,3,global_only,0.3983682983682983,0.4077501445922498,0.601585538811416,0.5246347343060948
33,3,local_only,0.1673202614379084,0.2130325814536341,0.5002528944414909,0.3836108403733256
33,3,fixed_4g_4l,0.4390756302521008,0.4491035280508965,0.6441715772856124,0.5956075400753896
33,3,random_allocation,0.2714975845410628,0.3132832080200501,0.5801867986626759,0.411050733494555
33,3,proposed_lsa_glqie,0.1286549707602339,0.2619047619047619,0.4220062852190045,0.3586117976934255
33,3,classical_proposed,0.6917450365726228,0.6987661461345672,0.9031027046377924,0.8370138563025202
33,3,classical_fixed_4g_4l,0.8784425451092117,0.8772893772893773,0.9548161390266654,0.913100612222686
33,3,svm_classical_proposed,0.8324561403508772,0.8377674956622325,0.9435519808326824,0.8830512565870551
33,3,fixed_2g_6l,0.3020550330895158,0.3192596876807403,0.5188533546537932,0.3607631568498406
33,3,fixed_6g_2l,0.3050143134176747,0.3156930788509736,0.4478029889214099,0.3997564570789944
33,3,shuffled_size_allocation,0.2576100628930817,0.3558897243107768,0.5262098707822392,0.4063790862760584
33,3,lesion_size_only,0.5593761077632046,0.5747059957586274,0.7362664950384249,0.6462052448507066
33,3,svm_classical_fixed_4g_4l,0.909196067090804,0.909196067090804,0.9617194554146308,0.926807042208243
33,4,global_only,0.4044817927170869,0.401889338731444,0.5365069442081826,0.401729902331078
33,4,local_only,0.1846153846153846,0.3157894736842105,0.5114502886174713,0.3962505608131133
33,4,fixed_4g_4l,0.1919191919191919,0.3333333333333333,0.391757485720334,0.3303359963115288
33,4,random_allocation,0.3246019517205958,0.4046783625730994,0.580379705863452,0.4292061806847192
33,4,proposed_lsa_glqie,0.1919191919191919,0.3333333333333333,0.5435337495322016,0.4197828257263816
33,4,classical_proposed,0.7305672268907563,0.7417004048582996,0.8814094767461641,0.7851873163088608
33,4,classical_fixed_4g_4l,0.7855855855855856,0.7874943769680612,0.9270012559679742,0.8406490671919125
33,4,svm_classical_proposed,0.8942978168784621,0.912280701754386,0.9642290114426336,0.9159173653606852
33,4,fixed_2g_6l,0.1770833333333333,0.2982456140350877,0.574730070840752,0.4431772250914794
33,4,fixed_6g_2l,0.3411056376573618,0.3479982006297796,0.4137183314621395,0.3257788923087089
33,4,shuffled_size_allocation,0.1770833333333333,0.2982456140350877,0.5358965617286051,0.4014898809305861
33,4,lesion_size_only,0.6059667886293273,0.6421052631578947,0.7911564828360494,0.6376864367118364
33,4,svm_classical_fixed_4g_4l,0.9382495590828924,0.9473684210526316,0.9843728618302922,0.9639135957528056
33,5,global_only,0.4417249417249417,0.4595959595959595,0.6411792411792412,0.4771537762197961
33,5,local_only,0.165079365079365,0.1766381766381766,0.4272069772069772,0.3171617734486673
33,5,fixed_4g_4l,0.1252090800477897,0.2720797720797721,0.4475973975973976,0.3322307727314671
33,5,random_allocation,0.2893772893772894,0.3113183113183113,0.4761269761269761,0.4001763082565193
33,5,proposed_lsa_glqie,0.364452798663325,0.368039368039368,0.5691644691644692,0.429386716623455
33,5,classical_proposed,0.696386355960824,0.7345247345247344,0.8855803855803855,0.8267746649593694
33,5,classical_fixed_4g_4l,0.8611764705882353,0.8699818699818699,0.982963032963033,0.9675624271583868
33,5,svm_classical_proposed,0.777571634714492,0.8032893032893033,0.9643179893179892,0.9111913655252212
33,5,fixed_2g_6l,0.446031746031746,0.4535094535094535,0.6796547296547297,0.5797135299245036
33,5,fixed_6g_2l,0.3416915880683996,0.3719243719243719,0.5262591012591011,0.405556665827801
33,5,shuffled_size_allocation,0.2865501370936154,0.315980315980316,0.5525948275948276,0.4568757000230171
33,5,lesion_size_only,0.4875632304203732,0.5701890701890702,0.6497990247990247,0.4750309281698637
33,5,svm_classical_fixed_4g_4l,0.8940740740740741,0.907018907018907,0.9858538108538109,0.9652781010307891
11,1,deep_quantum_fusion,0.8315462315462315,0.8583333333333334,0.9688810144455308,0.953997383150124
11,2,deep_quantum_fusion,0.8256302521008404,0.8376068376068376,0.959367991323432,0.9086980957006436
11,3,deep_quantum_fusion,0.9105494505494508,0.911027568922306,0.9535224055509144,0.949156537871667
11,4,deep_quantum_fusion,0.8323101706722396,0.8502923976608187,0.9782297703156836,0.968309668174802
11,5,deep_quantum_fusion,0.8802264127341527,0.8895363895363895,0.972057272057272,0.9511989925783028
