class_label,class_name,recall,precision
1,Meningioma,0.8252032520325203,0.3487972508591065
1,Meningioma,0.8252032520325203,0.3493975903614458
1,Meningioma,0.8252032520325203,0.35
1,Meningioma,0.8211382113821138,0.3488773747841105
1,Meningioma,0.8211382113821138,0.3494809688581315
1,Meningioma,0.8211382113821138,0.35008665511265163
1,Meningioma,0.8211382113821138,0.3506944444444444
1,Meningioma,0.8170731707317073,0.34956521739130436
1,Meningioma,0.8170731707317073,0.3501742160278746
1,Meningioma,0.8170731707317073,0.3507853403141361
1,Meningioma,0.8170731707317073,0.3513986013986014
1,Meningioma,0.8170731707317073,0.3520140105078809
1,Meningioma,0.8170731707317073,0.3526315789473684
1,Meningioma,0.8170731707317073,0.3532513181019332
1,Meningioma,0.8170731707317073,0.3538732394366197
1,Meningioma,0.8170731707317073,0.3544973544973545
1,Meningioma,0.8170731707317073,0.3551236749116608
1,Meningioma,0.8170731707317073,0.35575221238938054
1,Meningioma,0.8170731707317073,0.35638297872340424
1,Meningioma,0.8170731707317073,0.35701598579040855
1,Meningioma,0.8130081300813008,0.35587188612099646
1,Meningioma,0.8089430894308943,0.35472370766488415
1,Meningioma,0.8089430894308943,0.35535714285714287
1,Meningioma,0.8089430894308943,0.3559928443649374
1,Meningioma,0.8089430894308943,0.35663082437275984
1,Meningioma,0.8089430894308943,0.35727109515260325
1,Meningioma,0.8089430894308943,0.3579136690647482
1,Meningioma,0.8089430894308943,0.35855855855855856
1,Meningioma,0.8048780487804879,0.3574007220216607
1,Meningioma,0.8048780487804879,0.35804701627486435
1,Meningioma,0.8048780487804879,0.358695652173913
1,Meningioma,0.8048780487804879,0.35934664246823955
1,Meningioma,0.8048780487804879,0.36
1,Meningioma,0.8008130081300813,0.3588342440801457
1,Meningioma,0.8008130081300813,0.3594890510948905
1,Meningioma,0.8008130081300813,0.360146252285192
1,Meningioma,0.8008130081300813,0.3608058608058608
1,Meningioma,0.8008130081300813,0.3614678899082569
1,Meningioma,0.7967479674796748,0.3602941176470588
1,Meningioma,0.7967479674796748,0.36095764272559855
1,Meningioma,0.7967479674796748,0.36162361623616235
1,Meningioma,0.7967479674796748,0.36229205175600737
1,Meningioma,0.7967479674796748,0.362962962962963
1,Meningioma,0.7967479674796748,0.36363636363636365
1,Meningioma,0.7967479674796748,0.3643122676579926
1,Meningioma,0.7967479674796748,0.3649906890130354
1,Meningioma,0.7967479674796748,0.3656716417910448
1,Meningioma,0.7967479674796748,0.3663551401869159
1,Meningioma,0.7926829268292683,0.3651685393258427
1,Meningioma,0.7926829268292683,0.36585365853658536
1,Meningioma,0.7886178861788617,0.36466165413533835
1,Meningioma,0.7886178861788617,0.3653483992467043
1,Meningioma,0.7845528455284553,0.3641509433962264
